# Lambda    Tel    ADC    Spec    Cam   Det     Tot 
   320.0   0.643  0.895   0.510  0.900  0.600  0.158
   350.0   0.691  0.937   0.510  0.920  0.620  0.188
   400.0   0.738  0.951   0.510  0.940  0.810  0.273
   450.0   0.758  0.955   0.510  0.940  0.890  0.309
   500.0   0.767  0.957   0.510  0.940  0.910  0.320
   550.0   0.770  0.957   0.510  0.940  0.920  0.325
   600.0   0.767  0.956   0.510  0.940  0.930  0.327
   650.0   0.760  0.955   0.510  0.940  0.920  0.320
   700.0   0.745  0.954   0.510  0.940  0.920  0.313
   750.0   0.726  0.953   0.510  0.940  0.910  0.302
   800.0   0.698  0.952   0.510  0.920  0.800  0.249
   850.0   0.720  0.951   0.510  0.920  0.820  0.263
   900.0   0.780  0.951   0.510  0.920  0.840  0.292
   950.0   0.824  0.950   0.510  0.920  0.870  0.320
  1000.0   0.847  0.950   0.510  0.920  0.880  0.332
  1100.0   0.873  0.949   0.510  0.920  0.880  0.342
  1200.0   0.886  0.948   0.510  0.920  0.880  0.347
  1300.0   0.895  0.947   0.510  0.920  0.880  0.350
  1400.0   0.903  0.946   0.510  0.920  0.890  0.357
  1500.0   0.904  0.946   0.510  0.920  0.890  0.357
  1600.0   0.904  0.946   0.510  0.920  0.890  0.357
  1700.0   0.906  0.945   0.510  0.920  0.890  0.358
  1800.0   0.904  0.945   0.510  0.920  0.890  0.357
